"COUNT(*)","AIRCRAFT_MANUFACTURER","AIRCRAFT_MODEL","ROUND(AVG(R.AVERAGE_RATING), 2)","AVG(R.SEAT_COMFORT)","AVG(R.CABIN_STAFF_SERVICE)","AVG(R.FOOD_AND_BEVERAGES)","AVG(R.GROUND_SERVICE)"
3,"Airbus","A318",4.17,4.333333333333333,4.666666666666667,3.0,5.0
106,"Airbus","A319",2.91,2.8095238095238093,3.4571428571428573,2.522222222222222,3.018867924528302
416,"Airbus","A320",2.82,2.8166259168704157,3.3276283618581908,2.602816901408451,2.908433734939759
106,"Airbus","A321",2.74,2.660377358490566,3.380952380952381,2.3908045977011496,2.8867924528301887
1,"Airbus","A322",1.6,2.0,3.0,1.0,1.0
1,"Airbus","A329",4.8,4.0,5.0,5.0,5.0
1,"Airbus","A330",3.6,3.0,4.0,5.0,3.0
2,"Airbus","A340",2.79,2.5,2.5,2.0,4.0
37,"Airbus","A350",3.19,3.4722222222222223,3.5555555555555554,3.0833333333333335,3.1944444444444446
197,"Airbus","A380",3.11,3.1878172588832485,3.451776649746193,2.979057591623037,3.1370558375634516
13,"Boeing","Boeing 737",3.32,2.923076923076923,3.6923076923076925,3.0,3.769230769230769
1,"Boeing","Boeing 744",3.5,3.0,4.0,4.0,4.0
276,"Boeing","Boeing 747",2.86,2.8333333333333335,3.3405797101449277,2.752727272727273,3.0905797101449277
1,"Boeing","Boeing 757",3.6,3.0,4.0,,4.0
44,"Boeing","Boeing 767",2.77,2.6363636363636362,3.25,2.6923076923076925,3.090909090909091
511,"Boeing","Boeing 777",2.98,3.045275590551181,3.340551181102362,2.758893280632411,3.1980392156862747
166,"Boeing","Boeing 787",3.31,3.3212121212121213,3.6606060606060606,3.1646341463414633,3.375757575757576
1,"Boeing","Boeing 789",1.71,1.0,2.0,2.0,1.0
6,"Embraer","Embraer 170",3.17,3.6666666666666665,3.8333333333333335,2.6666666666666665,2.8333333333333335
11,"Embraer","Embraer 190",3.2,3.5454545454545454,4.181818181818182,2.8181818181818183,2.727272727272727
1,"Embraer","Embraer 195",3.75,3.0,4.0,,5.0
2,"Saab","Saab 2000",4.7,4.5,5.0,5.0,4.5
1096,"Unknown","Unknown",2.1,2.375763747454175,2.6415289256198347,2.15,2.071844660194175
