"SEAT_TYPE","AVERAGE_RATING","FOOD_AND_BEVERAGES","GROUND_SERVICE","SEAT_COMFORT","CABIN_STAFF_SERVICE","WIFI_AND_CONNECTIVITY","VALUE_FOR_MONEY"
"Business Class",1.83,2.0,2.0,1.0,3.0,,1
"Business Class",2.0,2.0,1.0,1.0,4.0,,2
"Business Class",4.2,4.0,4.0,4.0,4.0,,5
"Economy Class",2.8,3.0,2.0,3.0,3.0,,3
"Economy Class",1.5,1.0,3.0,1.0,1.0,,1
"Economy Class",2.83,4.0,4.0,2.0,3.0,,3
"First Class",1.83,1.0,1.0,4.0,2.0,,1
"Economy Class",1.0,1.0,1.0,1.0,1.0,1.0,1
"Economy Class",1.43,3.0,1.0,1.0,1.0,1.0,1
"Economy Class",2.0,2.0,2.0,1.0,3.0,,2
"Economy Class",1.5,2.0,1.0,1.0,3.0,,1
"Business Class",3.4,5.0,1.0,5.0,5.0,,1
"Economy Class",3.6,4.0,3.0,3.0,4.0,,4
"Economy Class",3.17,3.0,3.0,3.0,4.0,,3
"Business Class",3.67,4.0,4.0,3.0,4.0,,3
"Economy Class",2.33,2.0,3.0,1.0,4.0,,2
"Business Class",1.0,,1.0,1.0,1.0,,1
"Economy Class",4.8,4.0,5.0,5.0,5.0,,5
"Economy Class",2.17,2.0,3.0,1.0,3.0,,3
"Premium Economy",3.83,3.0,4.0,4.0,5.0,,5
"Economy Class",1.0,1.0,1.0,1.0,1.0,1.0,1
"Business Class",1.5,1.0,3.0,1.0,2.0,,1
"Business Class",1.6,1.0,1.0,1.0,4.0,,1
"Economy Class",4.0,4.0,5.0,4.0,3.0,,4
"Economy Class",2.4,2.0,1.0,3.0,3.0,,3
"Business Class",4.83,5.0,5.0,5.0,5.0,,4
"Business Class",2.6,3.0,3.0,1.0,5.0,,1
"Economy Class",1.83,2.0,1.0,1.0,4.0,,2
"Premium Economy",5.0,5.0,5.0,5.0,5.0,,5
"Economy Class",1.0,,1.0,1.0,1.0,,1
"Economy Class",4.0,3.0,4.0,4.0,4.0,,5
"Economy Class",3.4,1.0,3.0,4.0,5.0,,4
"Economy Class",2.17,3.0,3.0,1.0,2.0,,2
"Business Class",2.6,3.0,4.0,4.0,1.0,,1
"Economy Class",1.5,1.0,1.0,1.0,3.0,,1
"Economy Class",4.2,4.0,5.0,4.0,4.0,,4
"Economy Class",2.0,1.0,4.0,1.0,3.0,2.0,2
"Business Class",3.5,4.0,4.0,3.0,4.0,,3
