"Year","Total Reviews","Recommendation","AVG Rating","AVG Seat Comfort","AVG Food and Beverages","AVG Ground Service","AVG Money Value","AVG(CABIN_STAFF_SERVICE)","AVG(INFLIGHT_ENTERTAINMENT)"
"2015",301,0.4718,2.9585382059800667,3.0,2.9078014184397163,3.026578073089701,2.877076,3.4305084745762713,2.698492462311558
"2016",563,0.4263,2.8463765541740673,2.9245960502693,2.6268382352941178,2.8880994671403197,2.706927,3.3357271095152603,2.6954314720812182
"2017",560,0.2571,2.4440357142857145,2.5490909090909093,2.11088295687885,2.7396768402154397,2.285714,2.826642335766423,2.33810888252149
"2018",338,0.3491,2.734260355029586,2.768996960486322,2.7096774193548385,2.894259818731118,2.600592,3.1564417177914113,2.6748768472906406
"2019",336,0.4018,2.795892857142857,2.850467289719626,2.8634686346863467,2.8929663608562692,2.675595,3.29375,2.901554404145078
"2020",94,0.3298,2.557978723404255,2.986111111111111,2.8688524590163933,2.960526315789474,2.382979,3.5,2.8863636363636362
"2021",93,0.3978,2.663440860215054,2.8780487804878048,2.8970588235294117,2.522727272727273,2.580645,3.382716049382716,3.0
"2022",217,0.3088,2.485391705069125,2.770408163265306,2.569060773480663,2.4257425742574257,2.281106,3.077319587628866,2.7815126050420167
"2023",278,0.2374,2.3065827338129496,2.457692307692308,2.3705357142857144,2.287313432835821,2.053957,2.9182879377431905,2.5065789473684212
"2024",170,0.2765,2.3825294117647062,2.5987654320987654,2.515873015873016,2.1964285714285716,2.135294,2.8867924528301887,2.6666666666666665
"2025",49,0.5306,2.939795918367347,3.2708333333333335,3.024390243902439,2.9375,2.816327,3.1458333333333335,3.32
